Punto 1,Punto 2,Distancia (µm)
69.0,42.0,0.42442078177205206
69.0,43.0,0.5024390510300726
69.0,44.0,0.7162471640432513
69.0,57.0,0.22238030488332367
69.0,58.0,0.21566872745022633
69.0,59.0,0.4183598929151792
69.0,60.0,0.6105685874658148
69.0,61.0,0.27725259241348854
69.0,62.0,0.3027754943848658
69.0,63.0,0.5469424101310847
69.0,67.0,0.7076072356894043
69.0,70.0,0.221774660410066
69.0,71.0,0.4272715764007714
69.0,72.0,0.6505905010065857
69.0,92.0,0.7418746524851758
69.0,93.0,0.5450229352972222
69.0,94.0,0.3376818028854975
69.0,95.0,0.2061552812808831
69.0,96.0,0.5041715977720281
69.0,97.0,0.42568063145978335
69.0,98.0,0.41995475946820765
69.0,99.0,0.6781460019789248
69.0,102.0,0.6730505181633842
69.0,103.0,0.6026848264225673
69.0,104.0,0.5736244415992052
69.0,105.0,0.7284023613360957
70.0,28.0,0.7012624330448624
70.0,29.0,0.520807066004293
70.0,30.0,0.49274435562469915
70.0,31.0,0.6201072487884656
70.0,33.0,0.5860076791305725
70.0,34.0,0.39597979746446665
70.0,35.0,0.529439326079958
70.0,36.0,0.7385242040718774
70.0,42.0,0.6261349694754319
70.0,43.0,0.7240145026171784
70.0,56.0,0.6787083320543514
70.0,57.0,0.3884185886385976
70.0,58.0,0.19206509313251077
70.0,59.0,0.25847437010272417
70.0,60.0,0.4096950085124299
70.0,61.0,0.49837837031717197
70.0,62.0,0.503079516577648
70.0,63.0,0.7498333148106984
70.0,69.0,0.221774660410066
70.0,71.0,0.20562344224333962
70.0,72.0,0.42905011362310574
70.0,73.0,0.6345801761794957
70.0,80.0,0.7450167783345555
70.0,92.0,0.5262793934784071
70.0,93.0,0.35357884552105195
70.0,94.0,0.20124860247961965
70.0,95.0,0.28925421345245794
70.0,96.0,0.6640880965655083
70.0,97.0,0.5191107781581884
70.0,98.0,0.381525883787719
70.0,102.0,0.73179027050105
70.0,103.0,0.5881538914263851
70.0,104.0,0.4630302365936808
70.0,105.0,0.5586931179100024
70.0,106.0,0.7180480485315728
70.0,107.0,0.7302520112947309
70.0,113.0,0.7052836308890204
70.0,114.0,0.685898680564411
71.0,26.0,0.6609841147864296
71.0,28.0,0.6359402487655582
71.0,29.0,0.42497646993686605
71.0,30.0,0.4780062761094252
71.0,31.0,0.6489514619753931
71.0,33.0,0.690602635384488
71.0,34.0,0.4843397567823646
71.0,35.0,0.6894613839802779
71.0,55.0,0.6914390790228737
71.0,56.0,0.5177045489465973
71.0,57.0,0.5734457254178466
71.0,58.0,0.33526109228480444
71.0,59.0,0.22357549060664048
71.0,60.0,0.24831633051412466
71.0,61.0,0.7031884526924488
